STATE,DISTRICT,BLOCK,CAT1,VAL1,CAT2,VAL2
ANDHRA PRADESH,Annamayya,PEDDAMANDYAM,SGWE_NC,24.61184012821797,CAU_NC,safe
ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,GURRAMKONDA,SGWE_NC,0.9744360902255641,CAU_NC,safe
ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,SRIKALAHASTI,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,YARRAVARIPALEM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,KALAKADA,SGWE_NC,5.177372962607862,CAU_NC,safe
ANDHRA PRADESH,Annamayya,GURRAMKONDA,SGWE_NC,0.4857279923242985,CAU_NC,safe
ANDHRA PRADESH,Annamayya,PILERU,SGWE_NC,4.699933687002654,CAU_NC,safe
ANDHRA PRADESH,Annamayya,PEDDAMANDYAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,YARRAVARIPALEM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,SRIKALAHASTI,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,GURRAMKONDA,SGWE_NC,0.47863853926608757,CAU_NC,safe
ANDHRA PRADESH,Annamayya,PEDDAMANDYAM,SGWE_NC,10.596759585387947,CAU_NC,safe
ANDHRA PRADESH,Annamayya,PILERU,SGWE_NC,2.1617293835068057,CAU_NC,safe
ANDHRA PRADESH,Annamayya,MULAKALACHERUVU,SGWE_NC,1.7782656421514818,CAU_NC,safe
ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,RENIGUNTA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,KAMBHAMVARIPALLE,SGWE_NC,0.122965751760991,CAU_NC,safe
ANDHRA PRADESH,Tirupati,YERPEDU,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,KALIKIRI,SGWE_NC,2.7861381030183163,CAU_NC,safe
ANDHRA PRADESH,Annamayya,KALAKADA,SGWE_NC,1.5593916447410638,CAU_NC,safe
ANDHRA PRADESH,Tirupati,TIRUPATI URBAN,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,CHANDRAGIRI,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,KURABALAKOTA,SGWE_NC,1.9468813844489847,CAU_NC,safe
ANDHRA PRADESH,Annamayya,MULAKALACHERUVU,SGWE_NC,1.603960396039604,CAU_NC,safe
ANDHRA PRADESH,Chittoor,ROMPICHERLA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,B KOTHAKOTA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,VALMIKIPURAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,K V B PURAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,PILERU,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,B KOTHAKOTA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,K V B PURAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,PILERU,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,VALMIKIPURAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,VALMIKIPURAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,VARADAIAHPALEM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Chittoor,SODAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Chittoor,PULICHERLA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,MANDAPALLE,SGWE_NC,0.2593078720747831,CAU_NC,safe
ANDHRA PRADESH,Annamayya,NIMMANAPALLE,SGWE_NC,0.269165586681288,CAU_NC,safe
ANDHRA PRADESH,Tirupati,CHANDRAGIRI,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,RAMACHANDRAPURAM-17,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,NARAYANAVANAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,PAKALA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Chittoor,SODAM,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Tirupati,RAMACHANDRAPURAM-17,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Annamayya,MANDAPALLE,SGWE_NC,0.2389944529682521,CAU_NC,safe
ANDHRA PRADESH,Chittoor,CHOWDEPALLE,SGWE_NC,0,CAU_NC,safe
